County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
marioncounty,903393,in,marioncountyin,266139,667516,0.398700555,30.9,86.1,29.1,10.9,54.1,3.8,53.9,136700,48316,9.5,13.6,2279.6,20154,51474,74873,0.269175804
marshallcounty,47051,in,marshallcountyin,13541,41693,0.32477874,19.7,84.9,0.8,10.7,86.6,0.7,74.7,138700,52658,4.9,11.6,106.1,77,3189,3437,0.022403259
martincounty,10334,in,martincountyin,2611,8693,0.300356609,13.7,88.1,0.4,1.2,96.8,0.5,78.2,117100,52726,0.2,1.7,30.8,29,820,895,0.032402235
miamicounty,36903,in,miamicountyin,11794,31655,0.372579371,13,86.1,5.1,3.5,88.3,0.5,71.5,88700,50657,1.3,3.8,98.7,77,2200,2358,0.032654792
monroecounty,137974,in,monroecountyin,40819,108551,0.376035228,45.7,92.7,3.7,3.6,83,7.3,55.9,175600,49839,8.2,10.1,349.7,897,9693,11270,0.079591837
montgomerycounty,38124,in,montgomerycountyin,9014,29630,0.304218697,18.2,89.8,1.1,4.9,91.6,0.9,71.5,125700,55522,3.1,4.4,75.6,165,2492,2785,0.059245961
morgancounty,68894,in,morgancountyin,13331,58165,0.229192814,17.3,88.1,0.5,1.7,95.7,0.7,77.1,160700,64335,1.4,1.6,170.5,164,5447,5790,0.028324698
newtoncounty,14244,in,newtoncountyin,4429,12580,0.352066773,11.9,85.7,1,6.9,90.4,0.7,77.9,118400,55356,2.7,3.8,35.5,0,1056,1138,0
noblecounty,47536,in,noblecountyin,11527,39819,0.289484919,13.7,83.6,1.2,10.5,86.6,0.5,76.6,125800,56789,4.9,12.8,115.7,158,2894,3187,0.049576404
ohiocounty,6128,in,ohiocountyin,899,5197,0.172984414,14.7,87.6,0.6,1.7,96.1,0.4,76.2,151200,60128,1,1.6,71.1,26,307,347,0.074927954
orangecounty,19840,in,orangecountyin,6565,16379,0.400818121,10.9,83.2,1.7,1.8,94.5,0.4,74.4,94700,47917,1.8,2.2,49.8,46,1469,1561,0.02946829
owencounty,21575,in,owencountyin,6963,19115,0.364268899,13.1,85.4,0.5,1.3,95.9,0.6,79.2,117600,49543,1.1,2.8,56,0,1520,1605,0
parkecounty,17339,in,parkecountyin,5786,16734,0.345763117,12,86.2,2.7,1.8,94.2,0.2,78.8,88900,52618,1.3,8.3,39,0,1420,1453,0
perrycounty,19338,in,perrycountyin,4835,16214,0.298199087,16.1,90.3,3,1.4,93.8,0.5,77.7,111500,52348,1,0.7,50.7,0,1137,1204,0
pikecounty,12845,in,pikecountyin,3601,12385,0.290754945,14.1,86.8,0.7,1.6,96.1,0.7,82.4,93400,50194,1.5,1,38.4,35,640,739,0.047361299
portercounty,164343,in,portercountyin,28718,137667,0.208604822,28.4,93.6,4.4,10.4,82.3,1.6,75.1,185400,71152,3.6,5.9,393,896,9601,10999,0.081461951
poseycounty,25910,in,poseycountyin,5254,23495,0.223622047,21.9,93.4,1.1,1.2,95.7,0.7,81.7,144200,64196,0.7,0.9,63.3,57,1580,1753,0.032515687
pulaskicounty,13402,in,pulaskicountyin,4299,11418,0.376510772,12.8,88.5,1,3.1,93.6,0.7,75.9,102700,49580,1.5,2.5,30.9,31,806,869,0.035673188
putnamcounty,37963,in,putnamcountyin,9947,34487,0.288427523,16.8,88.9,3.8,2,91.4,1.2,71.6,128800,61047,2.9,2.9,79,74,2372,2563,0.028872415
randolphcounty,26171,in,randolphcountyin,9313,24987,0.372713811,14.3,87.5,0.7,3.7,93.7,0.4,76.3,81200,48036,1.8,3,57.9,75,1734,1894,0.039598733
ripleycounty,28818,in,ripleycountyin,6329,22994,0.275245716,18,89.3,0.5,1.9,95.5,0.9,75.9,152100,56332,1.6,3.1,64.6,32,2029,2200,0.014545455
rushcounty,17392,in,rushcountyin,5329,15544,0.342833248,13.9,87.4,1,1.8,95.4,0.4,71.4,112600,54346,0.7,2.7,42.6,33,1347,1443,0.022869023
scottcounty,24181,in,scottcountyin,7488,20192,0.370839937,12,83.2,0.5,2.5,95.1,0.9,72,103000,48700,1.2,3.2,127,0,1324,1476,0
shelbycounty,44436,in,shelbycountyin,9571,37452,0.255553775,18.7,87.3,1.4,4.4,92.1,0.8,73.3,133200,60404,2.5,4.2,108.1,95,3380,3602,0.026374237
spencercounty,20952,in,spencercountyin,4455,18709,0.238120691,15.2,90.5,1,3,94.6,0.3,81.9,127700,57305,1.6,3,52.8,40,1450,1540,0.025974026
st.josephcounty,266931,in,st.josephcountyin,66132,206652,0.320016259,29.6,88.5,13.8,9.1,71.8,2.7,68.2,129000,52769,6.5,10,583,3453,14644,18889,0.182804807
starkecounty,23363,in,starkecountyin,8202,20880,0.392816092,11.9,84.9,0.4,4.1,93.8,0.2,80.1,115500,51190,2,3,75.6,30,1330,1392,0.021551724
steubencounty,34185,in,steubencountyin,9228,31062,0.297083253,21.8,91.1,0.9,3.7,93.4,0.7,77.8,148800,58279,1.6,3.9,110.7,88,2743,2994,0.029392118
sullivancounty,21475,in,sullivancountyin,6727,18629,0.361103656,12.1,88.7,4.9,1.8,91.6,0.3,74.4,86000,50245,1,1.1,48,37,1137,1225,0.030204082
switzerlandcounty,10613,in,switzerlandcountyin,3700,9744,0.379720854,10.9,83.9,1.4,1.9,95.2,0.4,74.8,116400,49383,1.9,4.4,48.1,0,605,636,0
tippecanoecounty,172780,in,tippecanoecountyin,57147,143626,0.397887569,38.7,91.6,5.9,8.7,74.8,8.8,55.1,153000,53130,12,16.2,345.7,1563,8779,10868,0.14381671
tiptoncounty,15936,in,tiptoncountyin,4223,15045,0.28069126,24.7,89.3,0.7,2.9,94.6,0.6,81.7,116000,58118,1.3,2.4,61.2,0,911,964,0
unioncounty,7516,in,unioncountyin,2002,5820,0.343986254,18.5,87.4,1,1.8,95.1,0.4,72,116300,50375,2,2.5,46.6,0,532,570,0
vanderburghcounty,179703,in,vanderburghcountyin,48519,136331,0.355891177,27,90.1,9.9,2.8,83.1,1.4,64.8,129000,49708,2.8,4,769.7,977,10630,12386,0.07887938
vermillioncounty,16212,in,vermillioncountyin,4534,12991,0.349010854,14.2,91,0.5,1.3,96.3,0.3,73.1,79700,50243,0.8,2.1,63.1,0,1399,1455,0
vigocounty,107848,in,vigocountyin,40555,98233,0.412844971,25.1,88.4,7.4,2.8,85.2,2.1,61.8,97500,45230,3,4.6,267.4,620,6159,7194,0.08618293
wabashcounty,32888,in,wabashcountyin,9888,29376,0.336601307,18.1,88.8,0.9,2.7,94.1,0.6,74,100500,54259,1.5,3.4,79.7,72,2214,2407,0.029912754
warrencounty,8508,in,warrencountyin,2025,8072,0.250867195,19.4,92,0.4,2.2,95.3,0.6,83.9,122100,60553,0.8,0.8,23.3,0,471,498,0
warrickcounty,59689,in,warrickcountyin,9900,50219,0.197136542,30.3,93.2,1.8,2,92,2.7,78.5,168200,73482,3.7,4.2,155.1,175,4045,4336,0.040359779
washingtoncounty,28262,in,washingtoncountyin,8787,25464,0.345075401,13.4,85,0.5,1.4,96.7,0.3,77.8,118100,47983,0.7,2.2,55,32,1647,1788,0.017897092
waynecounty,68917,in,waynecountyin,23475,59010,0.39781393,18.2,86.5,5,3.2,87.8,1.1,66.9,100500,46516,2.4,5.3,171.5,282,4449,5002,0.056377449
wellscounty,27636,in,wellscountyin,7186,24974,0.287739249,18.2,92.2,0.9,3.3,93.9,0.7,78.9,127600,59237,1.4,2.8,75.1,66,1703,1875,0.0352
whitecounty,24643,in,whitecountyin,5614,20622,0.272233537,16.4,88.8,0.9,8.8,88.8,0.6,77.5,113500,54576,4.2,7.9,48.8,96,1811,1982,0.048435923
whitleycounty,33292,in,whitleycountyin,6943,29569,0.234806723,20.7,91.8,0.5,2.2,95.3,0.5,82.2,143100,61741,1.4,4,99.2,53,2422,2604,0.020353303
adaircounty,7682,ia,adaircountyia,1575,5496,0.286572052,18.5,94.2,0.6,2.5,95.1,0.5,74.3,104600,53363,1.6,3.2,13.5,0,861,914,0
adamscounty,4029,ia,adamscountyia,840,2833,0.296505471,15.6,93.8,0.5,1.4,96.1,0.7,81.7,87500,49255,0.6,1.5,9.5,0,261,284,0
allamakeecounty,14330,ia,allamakeecountyia,3013,10461,0.288022178,17.8,88.3,1.6,7.1,90,0.5,79.3,130400,52216,5.3,11.3,22.4,0,1241,1300,0
appanoosecounty,12887,ia,appanoosecountyia,3358,9358,0.358837358,16.3,90.2,0.9,2.2,94.6,0.7,71,81400,40167,0.9,2.9,25.9,27,1313,1388,0.01945245
auduboncounty,6119,ia,auduboncountyia,1684,5342,0.315237739,17.1,89.5,0.6,1.9,95.9,0.7,76.8,79500,52055,0.5,1.4,13.8,0,614,636,0
bentoncounty,26076,ia,bentoncountyia,4435,21768,0.203739434,22.1,94.1,0.7,1.6,96.1,0.4,82.8,157200,67729,0.8,2.8,36.4,0,2074,2154,0
blackhawkcounty,131090,ia,blackhawkcountyia,32088,96524,0.332435456,29.1,91.4,9.7,4.6,80.6,2.5,65.5,147500,53539,6.4,9.2,231.7,699,7916,9054,0.077203446
boonecounty,26306,ia,boonecountyia,4642,19463,0.238503828,25.3,93.9,1.2,2.7,94.3,0.5,78.1,132700,64000,1.4,2.6,46,33,1815,1955,0.016879795
bremercounty,24276,ia,bremercountyia,3607,18931,0.190534045,30.7,96.4,1.2,1.6,94.9,1.2,82.7,165700,70395,1.4,2.5,55.7,46,1772,1904,0.024159664
buchanancounty,20958,ia,buchanancountyia,4743,18734,0.253176044,21.5,94.1,0.6,1.7,95.8,0.6,79.3,142500,64837,0.8,3.3,36.7,165,1765,1908,0.086477987
buenavistacounty,20260,ia,buenavistacountyia,4808,14927,0.322100891,19.7,78.4,3.4,26.4,58,10,64.6,115600,57125,20.1,32.5,35.2,198,1636,1932,0.102484472
butlercounty,14867,ia,butlercountyia,3447,12788,0.269549578,17.3,92.5,0.3,1.4,96.4,0.9,77.9,116700,57115,0.9,1.7,25.6,0,1315,1345,0
calhouncounty,9670,ia,calhouncountyia,2312,8130,0.284378844,18.7,93.8,2.4,2.1,93.7,0.3,78.8,82000,52323,1.3,1.6,17,31,1023,1076,0.028810409
carrollcounty,20816,ia,carrollcountyia,4104,16533,0.248230811,22.4,93.5,1.4,2.9,94.3,0.5,75.8,138900,59212,1.5,2.4,36.6,26,2335,2457,0.010582011
casscounty,13956,ia,casscountyia,3298,10324,0.319449826,20.1,88,0.5,2.8,94.9,0.5,69.2,102100,50187,1.3,2.6,24.7,0,1549,1626,0
cedarcounty,18499,ia,cedarcountyia,3010,15116,0.199126753,22.2,95.6,0.6,2.3,95.1,0.6,81.2,156000,67795,1.2,1.7,31.9,28,1799,1894,0.014783527
cerrogordocounty,44151,ia,cerrogordocountyia,8186,31576,0.25924753,23.6,92.7,2.1,5.1,89.9,1.1,69.1,128600,53963,2.4,3.8,77.7,142,4002,4385,0.032383124
cherokeecounty,12072,ia,cherokeecountyia,2519,9527,0.264406424,22.2,93.1,1.2,4.1,92.8,0.6,74.6,106700,56550,1.6,2.7,20.9,0,1159,1235,0
chickasawcounty,12439,ia,chickasawcountyia,2326,9390,0.24771033,17.2,92.8,0.8,2.9,95.3,0.4,80.7,119100,60034,1.7,5.8,24.7,0,1021,1064,0
clarkecounty,9286,ia,clarkecountyia,2183,6333,0.344702353,16,87.8,1.3,15.4,81.2,0.8,70.4,110300,54427,6.3,12.2,21.5,0,710,764,0
claycounty,16667,ia,claycountyia,3877,12190,0.31804758,22.7,93.6,0.9,4.1,92.9,0.8,67.7,124100,50521,2.5,3.7,29.4,42,1745,1895,0.022163588
claytoncounty,18129,ia,claytoncountyia,4116,14385,0.286131387,17.7,89.9,0.9,2,95.8,0.3,74.5,121700,53152,2.6,6,23.3,0,1605,1673,0
clintoncounty,49116,ia,clintoncountyia,12453,38743,0.321425806,17.9,90.9,3.1,3.3,90.9,0.7,73.3,118100,51688,1.4,1.9,70.7,146,3913,4284,0.034080299
crawfordcounty,17096,ia,crawfordcountyia,4425,13305,0.332581736,14.3,80.2,3.6,28.9,64.6,2.5,69.1,93400,55755,17.1,30.4,23.9,72,1251,1392,0.051724138
dallascounty,66135,ia,dallascountyia,9278,57504,0.161345298,50.4,95.6,2.6,6.3,84.6,5,73.7,248100,88479,8.2,11.1,112.4,255,5662,6362,0.040081735
daviscounty,8753,ia,daviscountyia,2146,7032,0.305176337,19.5,83.1,0.2,1.7,96.6,0.3,85.2,115000,63404,1.4,19.9,17.4,28,780,826,0.033898305
decaturcounty,8457,ia,decaturcountyia,3087,7423,0.415869595,25,89.1,2.1,3.3,92.1,0.8,67,83200,44462,2.4,5.9,15.9,0,724,762,0
delawarecounty,17764,ia,delawarecountyia,3718,15643,0.237678195,16.6,91.7,0.9,1.6,96.3,0.3,84.4,136100,63750,0.7,2.2,30.7,0,1766,1831,0
desmoinescounty,40325,ia,desmoinescountyia,9508,31649,0.300420234,20.1,92,6.2,3.4,86.7,1,70.3,108500,51267,1.7,3.3,96.9,235,2877,3319,0.070804459
dickinsoncounty,16667,ia,dickinsoncountyia,2997,13145,0.227995436,33.6,96,0.6,2.2,95.2,0.8,79.4,194300,59969,1.5,3,43.8,0,2360,2459,0
dubuquecounty,93653,ia,dubuquecountyia,17817,73508,0.242381782,30.8,92.7,3.6,2.6,90.3,1.3,73.3,166800,63031,2.8,4.3,154,361,7553,8333,0.043321733
emmetcounty,10302,ia,emmetcountyia,2527,7687,0.328736828,18.8,90.7,1.3,10.1,86.5,0.7,78.1,89300,51563,5,8.1,26,40,891,978,0.040899796
fayettecounty,20880,ia,fayettecountyia,5578,16869,0.330665718,18.3,91.7,1.5,2.7,93.1,1.2,76.6,104100,51128,0.9,3.2,28.6,36,1943,2068,0.017408124
floydcounty,16303,ia,floydcountyia,3844,12492,0.307716939,19.8,90.1,2.8,3.8,90.6,1.6,71.2,106200,50406,3.3,8.4,32.6,27,1122,1189,0.022708158
franklincounty,10680,ia,franklincountyia,2609,8061,0.323657115,18,91.1,1.2,13.4,84,0.6,74.7,94100,56419,3.3,10.8,18.4,61,1018,1170,0.052136752
fremontcounty,7441,ia,fremontcountyia,2435,7429,0.327769552,18.9,92.1,0.9,3,94.4,0.4,76.3,109300,56750,2.4,3.1,14.6,0,349,386,0
greenecounty,9336,ia,greenecountyia,2054,7219,0.284526943,18.7,93.4,0.5,3.2,94.1,0.6,73.4,94700,53050,1.9,4,16.4,0,974,1014,0
grundycounty,12453,ia,grundycountyia,1977,9402,0.21027441,27.9,94.6,0.6,1.4,96.7,0.4,81.6,130200,68038,1,2.4,24.8,33,1027,1150,0.028695652
guthriecounty,10954,ia,guthriecountyia,2433,9084,0.267833554,19.8,93.1,0.7,2.8,94.6,0.3,79.6,117900,61161,1.8,2.7,18.5,0,1323,1383,0
hamiltoncounty,15673,ia,hamiltoncountyia,3122,11398,0.273907703,24.3,93.3,1.4,6.2,88.6,2.4,72.4,106100,60910,4.4,8,27.2,41,1277,1376,0.029796512
hancockcounty,11341,ia,hancockcountyia,2156,9142,0.235834609,23.8,93.3,1,4.9,92.5,0.5,77.1,102200,61761,1.7,3.5,19.9,0,860,931,0
hardincounty,17534,ia,hardincountyia,3135,11844,0.264690983,20.8,92.4,1.5,4.5,91.6,1.1,74.9,94300,54196,2.5,3.8,30.8,51,1883,2061,0.024745269
harrisoncounty,14928,ia,harrisoncountyia,3159,12194,0.259061834,19.5,91.5,0.4,1.9,95.9,0.4,75.7,120600,63854,0.7,1.3,21.4,0,1269,1311,0
henrycounty,20145,ia,henrycountyia,5332,17829,0.299063324,19.6,92.6,2.8,5.1,87.7,2.6,71.2,115500,53501,4.1,5.8,46.4,90,1725,1918,0.046923879
howardcounty,9566,ia,howardcountyia,2019,7859,0.256902914,15.8,90.9,0.7,1.7,96.1,0.4,79.7,107100,55060,0.8,4.1,20.2,0,1166,1244,0
humboldtcounty,9815,ia,humboldtcountyia,2436,7755,0.314119923,21.2,92.8,0.9,4.5,93.1,0.5,74.2,103800,54575,2.3,4.8,22.6,0,933,981,0
idacounty,7089,ia,idacountyia,1608,5905,0.2723116,18.6,93.2,0.5,3.2,94.4,0.7,75.6,100900,58427,1.2,1.8,16.4,0,600,645,0
iowacounty,16355,ia,iowacountyia,2990,12455,0.240064231,18.8,93.8,0.8,3.2,94.2,0.6,80.4,152500,61443,1.1,3.1,27.9,39,1366,1516,0.025725594
jacksoncounty,19848,ia,jacksoncountyia,4774,17290,0.27611336,19.2,92.6,0.7,1.6,95.2,0.5,79,128200,55967,1.4,1.3,31.2,0,2015,2103,0
jaspercounty,36842,ia,jaspercountyia,7928,28044,0.282698616,18.8,93.9,2.3,2.8,92.9,0.6,74.5,134200,58952,1.6,3.2,50.4,51,2673,2857,0.017850893
jeffersoncounty,16843,ia,jeffersoncountyia,4958,13422,0.369393533,31.5,93.2,2.6,3.2,80.9,11.5,66.3,118300,47708,9.3,9.4,38.7,125,2558,2806,0.044547398
johnsoncounty,130882,ia,johnsoncountyia,19402,82182,0.236085761,52.8,94.9,7.5,5.8,78,6.5,58.5,227600,62542,11.9,15.4,213.1,1156,9758,11533,0.100234111
jonescounty,20638,ia,jonescountyia,3896,14556,0.267655949,19.5,92.3,2.7,2.2,93.5,0.6,78.3,138400,57549,1.3,2.3,35.9,0,1512,1599,0
keokukcounty,10511,ia,keokukcountyia,2999,8963,0.334597791,18.3,92.9,0.7,1.9,96,0.4,78.4,90400,52881,1.2,1.5,18.1,0,999,1052,0
kossuthcounty,15543,ia,kossuthcountyia,3832,13490,0.284062268,17.5,93.9,1.1,3.3,93.9,0.6,75.7,102100,56073,1.3,2.3,16,32,1926,2025,0.015802469
leecounty,35862,ia,leecountyia,9091,26955,0.337265813,16.4,93,3.1,3.7,90.6,0.6,74.4,94500,49564,1,2.4,69.3,92,2387,2591,0.035507526
linncounty,211226,ia,linncountyia,35697,157714,0.226340084,33.1,94.5,6.1,3.4,85.2,2.6,73.8,157000,64903,4.4,5.8,294.6,952,14913,16511,0.057658531
louisacounty,11387,ia,louisacountyia,3301,9735,0.339085773,14.9,84.1,1.1,16.1,78.4,3.5,76.9,108800,56673,9,17.8,28.3,57,763,846,0.067375887
lucascounty,8898,ia,lucascountyia,2699,8310,0.32478941,17,92.1,0.6,2.4,95.7,0.4,78.1,96400,55205,3,5.2,20.7,0,664,690,0
lyoncounty,11581,ia,lyoncountyia,2060,9912,0.207828894,20.7,90.6,0.4,2.8,95.1,0.4,85.4,146900,64982,1.7,3.2,19.7,40,940,1036,0.038610039
madisoncounty,15679,ia,madisoncountyia,2399,11999,0.199933328,24.5,94.2,0.6,2.2,94.9,0.9,78.4,177500,66316,1.2,3.2,27.9,0,1448,1531,0
mahaskacounty,22381,ia,mahaskacountyia,5822,18083,0.321959852,22,92.2,1.8,2.4,92.7,1.7,69,115300,54825,1.9,2.6,39.2,0,1703,1839,0
marioncounty,33309,ia,marioncountyia,6736,28970,0.232516396,28.8,93.3,0.9,2,94.4,1.4,70.8,157300,61038,1.8,3,60.1,50,2354,2604,0.019201229
marshallcounty,40648,ia,marshallcountyia,10643,33089,0.321647677,18.8,83.8,2.3,23,69.6,3.8,70.5,106000,56437,13.5,22.6,71,135,2116,2392,0.056438127
millscounty,15059,ia,millscountyia,2800,11980,0.233722871,24.1,92.8,0.7,3.5,93.8,0.4,77.9,168900,72079,1.5,2.8,34.4,0,1242,1301,0
mitchellcounty,10776,ia,mitchellcountyia,2597,8720,0.297821101,19,91.8,0.6,1.7,96.4,0.5,80.8,119400,58302,1,5.8,23,0,1094,1133,0
mononacounty,9243,ia,mononacountyia,2166,6395,0.338702111,15.3,92.3,0.7,2.2,94.1,0.3,72.4,86900,47605,0.2,0.9,13.3,30,910,965,0.031088083
monroecounty,7970,ia,monroecountyia,1852,5661,0.32715068,17.4,87.7,0.8,2.7,94.8,0.4,79.9,100200,58269,0.7,2.7,18.4,0,720,768,0
montgomerycounty,10740,ia,montgomerycountyia,2376,7691,0.308932519,18.5,90.4,0.6,4.1,93.3,0.4,70.2,85700,51696,1.9,3.7,25.3,0,1011,1154,0
muscatinecounty,42745,ia,muscatinecountyia,8689,32345,0.268635029,21.5,89,3,18.3,76.2,1.2,73.4,130500,58453,6.5,13.6,97.7,231,2051,2465,0.093711968
o'briencounty,14398,ia,o'briencountyia,2725,10297,0.264640186,18.8,92.1,1.5,5.3,91.7,0.8,71.7,107000,53703,3.1,5.3,25.1,0,1452,1525,0
osceolacounty,6462,ia,osceolacountyia,1532,4839,0.316594338,17.9,88.4,1,8.5,88,0.9,78.4,93700,59725,4.3,8,16.2,0,559,584,0
pagecounty,15932,ia,pagecountyia,4706,13448,0.349940512,20.2,91.5,2.9,3.7,90.6,0.9,71.5,94400,51867,2.6,2.8,29.8,0,1271,1358,0
paloaltocounty,9421,ia,paloaltocountyia,1836,7257,0.252997106,25.5,92.7,2.1,3.1,92.6,0.9,72.3,102200,52932,2.5,3.8,16.7,0,646,714,0
plymouthcounty,24986,ia,plymouthcountyia,3948,19427,0.203222319,23.2,93.1,1.6,5.9,90.2,0.7,77.5,163500,67297,3.1,5.4,29,34,1974,2114,0.016083254
pocahontascounty,7310,ia,pocahontascountyia,1744,5201,0.335320131,15,92.2,1.1,4.1,92.5,0.6,77.3,76000,52448,4.2,5.5,12.7,0,507,556,0
polkcounty,430640,ia,polkcountyia,75373,289529,0.260329708,36.7,91.5,7.2,8.7,77,5,67.1,179900,67637,9.1,13.3,750.5,4482,33594,39938,0.112223947
pottawattamiecounty,93158,ia,pottawattamiecountyia,20167,74573,0.270432999,21.5,89.5,1.8,7.9,87.3,0.9,68.4,139800,60065,4.2,6.8,98,344,6298,6958,0.049439494
poweshiekcounty,18914,ia,poweshiekcountyia,3228,13140,0.2456621,26.1,93.9,1.7,3.2,91.7,1.9,68.6,141100,53852,2.7,4.9,32.3,27,2012,2111,0.012790147
ringgoldcounty,5131,ia,ringgoldcountyia,1317,3814,0.345306765,21.4,92.7,0.7,2.7,95,0.5,77.2,98700,55271,1.4,3.7,9.6,0,777,818,0
saccounty,10350,ia,saccountyia,2058,7645,0.269195553,20,92.8,0.4,3.8,93.8,0.5,79.4,95800,58232,1.9,3.2,18,0,976,1017,0
scottcounty,165224,ia,scottcountyia,29355,116397,0.252197222,31.8,92.8,8,7,79.5,2.9,69,163200,61183,4.2,6.6,360.7,1623,11334,13534,0.119920201
shelbycounty,12167,ia,shelbycountyia,2787,10747,0.259328185,22.2,92.4,1.2,3.3,94.1,0.6,77.5,121200,58000,1.9,2.9,20.6,0,1241,1311,0
siouxcounty,33704,ia,siouxcountyia,4675,22829,0.20478339,29.1,90.2,0.8,11.2,86.5,0.9,80.3,167500,69844,5.9,9.1,43.9,51,3002,3219,0.01584343
storycounty,89542,ia,storycountyia,27552,71526,0.385202584,51.6,97.2,3.1,3.7,83.5,8.1,53.5,185800,56756,9.4,10.9,156.3,427,6067,6835,0.062472568
tamacounty,17767,ia,tamacountyia,4726,14689,0.321737354,15.8,91.3,1,10.8,79.4,0.5,75.8,110400,56037,4.8,12,24.6,75,1399,1515,0.04950495
taylorcounty,6317,ia,taylorcountyia,1389,4718,0.294404409,14.5,90.2,0.6,7.8,90.1,0.5,78.2,80600,50431,4,7.1,11.9,0,647,681,0
unioncounty,12534,ia,unioncountyia,2643,8964,0.294846051,18,90.3,1.4,3.2,93.7,0.7,70.4,104000,49900,2.3,5.3,29.6,25,1075,1166,0.021440823
vanburencounty,7570,ia,vanburencountyia,2379,7292,0.326247943,14.4,89.2,0.2,1.8,95.7,0.6,81.3,92800,48591,1.5,6.4,15.6,0,804,822,0
wapellocounty,35625,ia,wapellocountyia,12236,31440,0.389185751,18.8,88.1,3.8,11.1,81,1.6,71.5,82100,46246,7.7,11.9,82.5,148,1971,2281,0.064883823
warrencounty,46225,ia,warrencountyia,6549,37540,0.174453916,31.9,95.4,0.9,3.1,93.6,0.7,79,187200,77048,1.6,2.4,81.1,132,3489,3783,0.034892942
washingtoncounty,21704,ia,washingtoncountyia,4228,16683,0.253431637,21.8,91.4,1.2,6.5,90.4,0.7,71,151600,62556,4.1,8.8,38.2,77,1971,2147,0.035863996
waynecounty,6403,ia,waynecountyia,1995,5087,0.392176135,12.7,87.9,0.5,1.6,95.8,0.6,81.1,81100,44768,1.3,10.5,12.2,0,707,738,0
webstercounty,38013,ia,webstercountyia,10913,30883,0.353365929,19.9,90.5,4.7,5.5,86.6,1.2,68,99100,47466,2.8,4,53.1,174,2689,3047,0.05710535
winnebagocounty,10866,ia,winnebagocountyia,2245,7763,0.289192323,21.8,92.4,1.7,5.1,90.8,1,76,94800,49870,2.3,4.8,27.1,0,821,900,0
winneshiekcounty,21056,ia,winneshiekcountyia,3571,16840,0.212054632,30.6,95.2,0.9,2.4,94.9,1.2,79.3,177300,65263,1.9,3.5,30.5,52,2607,2760,0.01884058
woodburycounty,102172,ia,woodburycountyia,20728,68714,0.30165614,23.1,87.1,4.7,17.4,71.1,2.9,66.4,123300,59224,8.2,16.3,117.1,856,6419,7667,0.11164732
worthcounty,7598,ia,worthcountyia,1676,6111,0.274259532,17.5,93.3,1,3.4,93.8,0.6,77.6,106700,57130,0.8,1.3,19,0,851,897,0
wrightcounty,13229,ia,wrightcountyia,2751,8531,0.322470988,17.2,92.4,1.2,13.2,84,0.6,71.7,85500,53333,5.4,9.8,22.8,29,948,1028,0.028210117
allencounty,13371,ks,allencountyks,3581,10232,0.349980453,20.3,91.9,2.2,3.8,89.5,1.2,70.8,79300,45333,1.3,2.4,26.7,97,1352,1497,0.064796259
andersoncounty,8102,ks,andersoncountyks,2465,6964,0.35396324,18.1,91,0.6,2.1,94.1,0.7,74.4,95700,50213,0.7,2.2,14,0,545,575,0
atchisoncounty,16924,ks,atchisoncountyks,4919,14514,0.338914152,22,92.7,4.8,3.2,88.2,0.7,69.4,110400,50439,0.9,1.3,39.3,52,759,925,0.056216216
barbercounty,4861,ks,barbercountyks,1121,3204,0.349875156,20.7,91.1,1,4.7,91.3,0.5,71.8,72300,50174,1.9,5.1,4.3,0,698,750,0
bartoncounty,27674,ks,bartoncountyks,7906,21257,0.371924543,20.9,89.5,1.9,15.3,81,0.3,70.3,93300,49723,5.5,10.6,30.9,201,3055,3370,0.059643917
bourboncounty,15173,ks,bourboncountyks,5453,12939,0.42143906,21.7,91.3,3.2,2.8,89.7,1.1,71.4,82700,43917,1.3,1.7,23.9,44,1271,1371,0.032093363
browncounty,9984,ks,browncountyks,3005,8635,0.348002316,21.2,93.2,1.6,5.3,82.2,0.6,70.2,88500,48333,0.9,2.1,17.5,36,752,883,0.040770102
butlercounty,65880,ks,butlercountyks,15455,58332,0.264948913,29.8,92.5,2.2,5.1,88.2,1.4,74.5,148600,64782,2.8,4,46.1,311,4584,5064,0.061413902
chasecounty,2790,ks,chasecountyks,953,2790,0.341577061,25.5,91.8,1.2,4.8,91.3,0.3,80.7,103600,45353,1.8,3.5,3.6,0,268,281,0
chautauquacounty,3669,ks,chautauquacountyks,1240,2613,0.474550325,15.9,86.6,1.4,4,85.7,0.2,77.7,49500,40298,0.7,1.1,5.7,0,397,482,0
cherokeecounty,21603,ks,cherokeecountyks,7362,18377,0.400609457,19.6,89.9,0.9,2.7,87.5,0.5,72.7,82500,43175,1.1,2.1,36.8,84,1342,1517,0.055372446
